page,page_display,type,subtype,grade,rule_grade,decided_by
0,1,TITLE_REPORT,legal_description,RULE_HIGH,RULE_HIGH,rule
1,2,CREDIT_REPORT,score_disclosure,RULE_HIGH,RULE_HIGH,rule
2,3,TITLE_REPORT,schedule_a,RULE_HIGH,RULE_HIGH,rule
3,4,CREDIT_REPORT,,RULE_MEDIUM,RULE_MEDIUM,rule
4,5,TITLE_REPORT,,RULE_HIGH,RULE_HIGH,rule
5,6,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
6,7,TITLE_REPORT,,RULE_HIGH,RULE_HIGH,rule
7,8,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
8,9,TITLE_REPORT,schedule_b1,RULE_HIGH,RULE_HIGH,rule
9,10,CREDIT_REPORT,,RULE_HIGH,RULE_HIGH,rule
10,11,TITLE_REPORT,Title Commitment / ALTA Commitment for Title Insurance,VLM,DEFER_VLM,vlm
11,12,INCOME_DOC,,RULE_HIGH,RULE_HIGH,rule
12,13,URLA_1003,main,RULE_HIGH,RULE_HIGH,rule
13,14,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
14,15,TITLE_REPORT,schedule_b2,RULE_HIGH,RULE_HIGH,rule
15,16,URLA_1003,main,RULE_HIGH,RULE_HIGH,rule
16,17,TITLE_REPORT,schedule_a,RULE_HIGH,RULE_HIGH,rule
17,18,URLA_1003,main,RULE_HIGH,RULE_HIGH,rule
18,19,CREDIT_REPORT,consumer_letter,RULE_HIGH,RULE_HIGH,rule
19,20,URLA_1003,main,RULE_HIGH,RULE_HIGH,rule
20,21,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
21,22,TITLE_REPORT,schedule_b2,RULE_HIGH,RULE_HIGH,rule
22,23,URLA_1003,main,RULE_HIGH,RULE_HIGH,rule
23,24,CREDIT_REPORT,consumer_letter,LLM,DEFER_LLM,llm
24,25,URLA_1003,lender_loan_information,RULE_HIGH,RULE_HIGH,rule
25,26,TITLE_REPORT,ALTA Commitment for Title Insurance,VLM,DEFER_VLM,vlm
26,27,INCOME_DOC,,RULE_HIGH,RULE_HIGH,rule
27,28,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
28,29,URLA_1003,unmarried_addendum,RULE_HIGH,RULE_HIGH,rule
29,30,TITLE_REPORT,main_report,LLM,DEFER_LLM,llm
30,31,INCOME_DOC,,RULE_MEDIUM,RULE_MEDIUM,rule
31,32,CREDIT_REPORT,,RULE_MEDIUM,RULE_MEDIUM,rule
32,33,TITLE_REPORT,schedule_b1,RULE_HIGH,RULE_HIGH,rule
33,34,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
34,35,URLA_1003,main,RULE_HIGH,RULE_HIGH,rule
35,36,INCOME_DOC,main_report,LLM,DEFER_LLM,llm
36,37,URLA_1003,lender_loan_information,RULE_HIGH,RULE_HIGH,rule
37,38,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
38,39,,,UNRESOLVED,DEFER_LLM,deferred
39,40,TITLE_REPORT,Commitment for Title Insurance,VLM,DEFER_VLM,vlm
40,41,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
41,42,TITLE_REPORT,legal_description,RULE_HIGH,RULE_HIGH,rule
42,43,URLA_1003,main,RULE_HIGH,RULE_HIGH,rule
43,44,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
